,years,crop_type,geometry
0,2021,1,"POLYGON ((774604.0143275484 1671240.0548827336, 774606.5055553364 1671331.0924999372, 774679.5517776415 1671330.1703888504, 774675.7978508549 1671227.4928340595, 774666.4300546482 1671219.0801929508, 774604.0143275484 1671240.0548827336))"
1,2021,1,"POLYGON ((773367.8367826033 1670278.438192642, 773389.5995068783 1670331.279560301, 773560.5508960537 1670263.8391988175, 773535.1842709597 1670187.8164475565, 773367.8367826033 1670278.438192642))"
2,2021,1,"POLYGON ((771648.671049207 1673990.9596319643, 771707.0267929761 1674262.2207901871, 771865.7350129839 1674235.9931565698, 771870.9935397056 1674232.5597475064, 771857.8893343315 1674187.520334704, 771846.7670290994 1674149.806156321, 771795.1110948958 1673983.3131658917, 771648.671049207 1673990.9596319643))"
3,2021,3,"POLYGON ((771306.1170496736 1674174.7379477676, 771426.6780820895 1674167.5712540105, 771409.9691842326 1674102.0911473013, 771293.7638830642 1674098.4647986232, 771306.1170496736 1674174.7379477676))"
4,2021,2,"POLYGON ((763750.3393858145 1678588.825202949, 763879.691074461 1678550.200159334, 763953.457096286 1678501.7628999623, 763940.0880164553 1678457.1080487317, 763749.233699854 1678514.8596812903, 763750.3393858145 1678588.825202949))"
5,2021,2,"POLYGON ((760668.7725664156 1676263.0709604928, 760619.1652798601 1676285.7700087165, 760692.9597566666 1676448.2172556254, 760716.7119424002 1676420.1396105012, 760668.7725664156 1676263.0709604928))"
6,2021,4,"POLYGON ((771447.743859666 1673471.8758420101, 771455.3703612402 1673211.0111724553, 771397.0644536797 1673212.1117802903, 771392.3955802616 1673468.3604100975, 771447.743859666 1673471.8758420101))"
7,2021,1,"POLYGON ((759972.2929456668 1685303.8909668203, 759925.2661959718 1685076.4216168413, 759891.8278197568 1685077.268241376, 759936.483628388 1685315.0068069573, 759972.2929456668 1685303.8909668203))"
8,2021,1,"POLYGON ((774477.9332670632 1669351.8539020843, 774373.7012571194 1669354.9811798697, 774386.4953170619 1669455.2696057013, 774484.2910477576 1669450.4190823047, 774477.9332670632 1669351.8539020843))"
9,2021,1,"POLYGON ((764654.3844307049 1673306.4432912692, 764788.1369432521 1673405.3677761236, 764863.2271754942 1673297.937780568, 764927.4311054092 1673326.7787375757, 764985.9911371883 1673302.748438439, 764766.4657305682 1673132.3386836858, 764735.4629018602 1673173.2850449677, 764752.0150330376 1673183.7666827037, 764654.3844307049 1673306.4432912692))"
10,2021,1,"POLYGON ((764451.9693598335 1672943.0428583683, 764467.922856973 1672911.0055615748, 764043.3445088025 1672755.466360451, 764030.2791177351 1672779.3437899114, 764041.8775414843 1672800.065240987, 764167.9673522972 1672844.2097627318, 764299.2109945603 1672889.07701237, 764353.097357312 1672907.8367989925, 764451.9693598335 1672943.0428583683))"
11,2021,3,"POLYGON ((764132.1442051657 1682212.2906187144, 764205.4067614637 1682198.1699089878, 764223.7389779324 1682107.262890156, 764145.1330156678 1682051.6875214658, 764132.1442051657 1682212.2906187144))"
12,2021,2,"POLYGON ((765097.6092302905 1681968.6594914142, 765116.1552333721 1682011.3815528157, 765095.9514565403 1682020.2314534925, 765159.8008144856 1682049.6267858054, 765169.8446599017 1681978.996804209, 765197.7704050957 1681981.3052087568, 765196.0594869294 1681961.4688308998, 765097.6092302905 1681968.6594914142))"
13,2021,4,"POLYGON ((768384.5977593615 1681430.4359855894, 768378.2848867584 1681512.4015101967, 768475.4488040092 1681524.1411684274, 768483.7740977134 1681444.8557268775, 768384.5977593615 1681430.4359855894))"
14,2021,3,"POLYGON ((772499.798508714 1676429.6763462785, 772529.3433259798 1676775.6870795542, 772576.0639734622 1676761.492024897, 772574.859881178 1676485.963764586, 772566.0006168598 1676455.1576367342, 772522.5589214077 1676424.8347694648, 772499.798508714 1676429.6763462785))"
